Event_Date,BoE_Rate_Pre,BoE_Rate_Post,Rate_Change,FTSE_Day0,FTSE_CAR,FTSE_Day_-3,FTSE_Day_-2,FTSE_Day_-1,FTSE_Day_0,FTSE_Day_1,FTSE_Day_2,FTSE_Day_3,BoE_Rate_Pre_feat,BoE_Rate_Post_feat,Rate_Change_feat,FTSE_Day0_feat,FTSE_CAR_feat,FTSE_Day_-3_feat,FTSE_Day_-2_feat,FTSE_Day_-1_feat,FTSE_Day_0_feat,FTSE_Day_1_feat,FTSE_Day_2_feat,FTSE_Day_3_feat,Rate_Change_bp,is_hike,is_cut,is_hold,BoE_Rate_Current,UK10Y_Current,Rate_Level_Squared,Rate_Change_Abs
1990-10-01,14.88,13.88,-1.0,0.0,3.993125014292098,,2.0450243312599037,0.0,0.0,1.359002179041302,1.384503279086724,-0.7954047750958315,14.88,13.88,-1.0,0.0,3.993125014292098,,2.0450243312599037,0.0,0.0,1.359002179041302,1.384503279086724,-0.7954047750958315,-100.0,0,1,0,13.88,11.74,192.6544,1.0
1991-02-01,13.88,12.88,-1.0,-0.2119567595611382,2.7552280184182987,,1.835559084674809,0.8222591456326089,-0.2119567595611382,0.3093665476720186,0.0,0.0,13.88,12.88,-1.0,-0.2119567595611382,2.7552280184182987,,1.835559084674809,0.8222591456326089,-0.2119567595611382,0.3093665476720186,0.0,0.0,-100.0,0,1,0,12.88,10.13,165.89440000000002,1.0
1991-03-01,12.88,12.38,-0.5,0.2520055544583677,2.5966300534708275,,1.1110175424431157,1.4011883451341631,0.2520055544583677,-0.1675813885648192,0.0,0.0,12.88,12.38,-0.5,0.2520055544583677,2.5966300534708275,,1.1110175424431157,1.4011883451341631,0.2520055544583677,-0.1675813885648192,0.0,0.0,-50.0,0,1,0,12.38,10.29,153.26440000000002,0.5
1991-04-01,12.38,11.88,-0.5,0.0,2.746679913970018,,0.0,0.0,0.0,1.2945267180185294,1.2377948086538249,0.214358387297664,12.38,11.88,-0.5,0.0,2.746679913970018,,0.0,0.0,0.0,1.2945267180185294,1.2377948086538249,0.214358387297664,-50.0,0,1,0,11.88,10.19,141.13440000000003,0.5
1991-05-01,11.88,11.38,-0.5,0.8929270214735219,1.6910731474985008,,0.0,-0.4803458583997999,0.8929270214735219,0.8890148977955592,-0.3161180761984683,0.705595162827688,11.88,11.38,-0.5,0.8929270214735219,1.6910731474985008,,0.0,-0.4803458583997999,0.8929270214735219,0.8890148977955592,-0.3161180761984683,0.705595162827688,-50.0,0,1,0,11.38,10.38,129.5044,0.5
1991-07-01,11.38,10.88,-0.5,0.0,2.290988367685065,,1.1926473515726954,0.0,0.0,0.6793195634402949,-0.4877652320204317,0.9067866846925066,11.38,10.88,-0.5,0.0,2.290988367685065,,1.1926473515726954,0.0,0.0,0.6793195634402949,-0.4877652320204317,0.9067866846925066,-50.0,0,1,0,10.88,10.28,118.37440000000002,0.5
1991-09-01,10.88,10.38,-0.5,0.0,1.0051775660085638,,0.2842847448567553,0.0,0.0,1.2813299735428885,-0.3955850600812272,-0.1648520923098528,10.88,10.38,-0.5,0.0,1.0051775660085638,,0.2842847448567553,0.0,0.0,1.2813299735428885,-0.3955850600812272,-0.1648520923098528,-50.0,0,1,0,10.38,9.64,107.7444,0.5
1992-05-01,10.38,9.88,-0.5,0.2147602186107544,0.4240544751274777,,0.5243267575914645,-0.4052611761515612,0.2147602186107544,0.0902286750768199,0.0,0.0,10.38,9.88,-0.5,0.2147602186107544,0.4240544751274777,,0.5243267575914645,-0.4052611761515612,0.2147602186107544,0.0902286750768199,0.0,0.0,-50.0,0,1,0,9.88,9.02,97.61440000000002,0.5
1992-09-01,9.88,8.88,-1.0,0.0,2.7869711393239904,,0.0,0.0,0.0,0.6352287798725431,2.9788111692066632,-0.8270688097552159,9.88,8.88,-1.0,0.0,2.7869711393239904,,0.0,0.0,0.0,0.6352287798725431,2.9788111692066632,-0.8270688097552159,-100.0,0,1,0,8.88,9.19,78.85440000000001,1.0
1992-10-01,8.88,7.88,-1.0000000000000009,0.755975277247356,-4.4503856656232585,,0.2148437500000044,-0.4872344572208198,0.755975277247356,-0.8785949238910185,-4.05537531175878,0.0,8.88,7.88,-1.0000000000000009,0.755975277247356,-4.4503856656232585,,0.2148437500000044,-0.4872344572208198,0.755975277247356,-0.8785949238910185,-4.05537531175878,0.0,-100.00000000000009,0,1,0,7.88,8.65,62.0944,1.0000000000000009
1992-11-01,7.88,6.88,-1.0,0.0,1.863763614106495,,0.6055330471305131,0.0,0.0,1.1097317630868853,0.662253460255946,-0.5137546563668494,7.88,6.88,-1.0,0.0,1.863763614106495,,0.6055330471305131,0.0,0.0,1.1097317630868853,0.662253460255946,-0.5137546563668494,-100.0,0,1,0,6.88,8.19,47.334399999999995,1.0
1993-01-01,6.88,5.88,-1.0,0.0,0.4839674202620991,,-0.5372585352128589,0.4942630185348573,0.0,0.5269629369401008,0.0,0.0,6.88,5.88,-1.0,0.0,0.4839674202620991,,-0.5372585352128589,0.4942630185348573,0.0,0.5269629369401008,0.0,0.0,-100.0,0,1,0,5.88,8.29,34.5744,1.0
1993-11-01,5.88,5.38,-0.5,0.0,-0.6950848639318052,,-0.2081393142935983,0.0,0.0,-0.009474298342571,-0.0568897560939474,-0.4205814952016884,5.88,5.38,-0.5,0.0,-0.6950848639318052,,-0.2081393142935983,0.0,0.0,-0.009474298342571,-0.0568897560939474,-0.4205814952016884,-50.0,0,1,0,5.38,6.85,28.9444,0.5
1994-02-01,5.38,5.13,-0.25,-0.2949781970357001,-0.4597507653276822,,0.0,0.0,-0.2949781970357001,1.1144635596187058,-0.8181134684162039,-0.4611226594944839,5.38,5.13,-0.25,-0.2949781970357001,-0.4597507653276822,,0.0,0.0,-0.2949781970357001,1.1144635596187058,-0.8181134684162039,-0.4611226594944839,-25.0,0,1,0,5.13,6.7572,26.3169,0.25
1994-09-01,5.13,5.63,0.5,-1.0703425800601796,-0.2419120685888565,,0.0,0.0523126268090923,-1.0703425800601796,0.1927545833009469,0.5833633013612838,0.0,5.13,5.63,0.5,-1.0703425800601796,-0.2419120685888565,,0.0,0.0523126268090923,-1.0703425800601796,0.1927545833009469,0.5833633013612838,0.0,50.0,1,0,0,5.63,8.8959,31.6969,0.5
1994-12-01,5.63,6.13,0.5,-1.3565199588572274,-0.4306613424361116,,0.4594532359067704,0.6631539002283082,-1.3565199588572274,-0.7336507471926934,0.5369022274787305,0.0,5.63,6.13,0.5,-1.3565199588572274,-0.4306613424361116,,0.4594532359067704,0.6631539002283082,-1.3565199588572274,-0.7336507471926934,0.5369022274787305,0.0,50.0,1,0,0,6.13,8.5814,37.5769,0.5
1995-02-01,6.13,6.63,0.5,0.8590704082410472,2.1911957351496536,,0.0,-0.1435229756553635,0.8590704082410472,0.5766712644474259,0.8238046726941173,0.0751723654224267,6.13,6.63,0.5,0.8590704082410472,2.1911957351496536,,0.0,-0.1435229756553635,0.8590704082410472,0.5766712644474259,0.8238046726941173,0.0751723654224267,50.0,1,0,0,6.63,8.6557,43.9569,0.5
1995-12-01,6.63,6.38,-0.25,0.4393705018991056,0.5729977019817922,,0.1836206720625011,0.2407344775851472,0.4393705018991056,-0.2907279495649617,0.0,0.0,6.63,6.38,-0.25,0.4393705018991056,0.5729977019817922,,0.1836206720625011,0.2407344775851472,0.4393705018991056,-0.2907279495649617,0.0,0.0,-25.0,0,1,0,6.38,7.4926,40.7044,0.25
1996-01-01,6.38,6.13,-0.25,0.0,0.6727884032244447,,0.0,0.0,0.0,-0.0379515481485404,0.7511102808103853,-0.0403703294374002,6.38,6.13,-0.25,0.0,0.6727884032244447,,0.0,0.0,0.0,-0.0379515481485404,0.7511102808103853,-0.0403703294374002,-25.0,0,1,0,6.13,7.4408,37.5769,0.25
1996-03-01,6.13,5.94,-0.1899999999999995,0.6733515628837727,1.4136205164057447,,0.6001251221557258,-0.2835550172296752,0.6733515628837727,0.4236988485959214,0.0,0.0,6.13,5.94,-0.1899999999999995,0.6733515628837727,1.4136205164057447,,0.6001251221557258,-0.2835550172296752,0.6733515628837727,0.4236988485959214,0.0,0.0,-18.99999999999995,0,1,0,5.94,8.057,35.28360000000001,0.1899999999999995
1996-06-01,5.94,5.69,-0.25,0.0,-0.5402792665533895,,-0.7680695069797405,0.0293617762454179,0.0,-0.2294705572390198,0.0,0.4278990214199529,5.94,5.69,-0.25,0.0,-0.5402792665533895,,-0.7680695069797405,0.0293617762454179,0.0,-0.2294705572390198,0.0,0.4278990214199529,-25.0,0,1,0,5.69,8.054,32.3761,0.25
1996-10-01,5.69,5.94,0.25,0.9737714160273692,1.7913121492386883,,0.0,0.0,0.9737714160273692,0.5736222324649098,-0.3760827199567051,0.6200012207031147,5.69,5.94,0.25,0.9737714160273692,1.7913121492386883,,0.0,0.0,0.9737714160273692,0.5736222324649098,-0.3760827199567051,0.6200012207031147,25.0,1,0,0,5.94,7.5413,35.28360000000001,0.25
1997-05-01,5.94,6.25,0.3099999999999996,0.2028854824165815,2.925124257029088,,0.990956057692749,0.0631553858194911,0.2028854824165815,0.2384723882171036,1.4296549428831629,0.0,5.94,6.25,0.3099999999999996,0.2028854824165815,2.925124257029088,,0.990956057692749,0.0631553858194911,0.2028854824165815,0.2384723882171036,1.4296549428831629,0.0,30.99999999999996,1,0,0,6.25,7.1681,39.0625,0.3099999999999996
1997-06-01,6.25,6.5,0.25,0.0,-2.482350864897398,,-1.0915395443767184,0.0,0.0,-1.2658776204188649,-0.1095818404056037,-0.015351859696211,6.25,6.5,0.25,0.0,-2.482350864897398,,-1.0915395443767184,0.0,0.0,-1.2658776204188649,-0.1095818404056037,-0.015351859696211,25.0,1,0,0,6.5,7.1418,42.25,0.25
1997-07-01,6.5,6.75,0.25,2.686437571293387,4.473847001778397,,0.0,0.0,2.686437571293387,0.488549766521773,1.690034402895435,-0.3911747389321984,6.5,6.75,0.25,2.686437571293387,4.473847001778397,,0.0,0.0,2.686437571293387,0.488549766521773,1.690034402895435,-0.3911747389321984,25.0,1,0,0,6.75,7.0577,45.5625,0.25
1997-08-01,6.75,7.0,0.25,-0.1670951668364728,0.3972468223532588,,1.0396527501940644,-0.4018388462716182,-0.1670951668364728,-0.0734719147327145,0.0,0.0,6.75,7.0,0.25,-0.1670951668364728,0.3972468223532588,,1.0396527501940644,-0.4018388462716182,-0.1670951668364728,-0.0734719147327145,0.0,0.0,25.0,1,0,0,7.0,7.0893,49.0,0.25
1997-11-01,7.0,7.25,0.25,0.0,0.5468649000049175,,-1.4347860163813508,0.8413316221779432,0.0,1.3237531801355784,0.0,-0.1834338859272533,7.0,7.25,0.25,0.0,0.5468649000049175,,-1.4347860163813508,0.8413316221779432,0.0,1.3237531801355784,0.0,-0.1834338859272533,25.0,1,0,0,7.25,6.624,52.5625,0.25
1998-06-01,7.25,7.5,0.25,0.0,-0.1605665802476785,,-0.5587117699340172,0.0,0.0,0.075367896287215,0.9602399659674798,-0.6374626725683563,7.25,7.5,0.25,0.0,-0.1605665802476785,,-0.5587117699340172,0.0,0.0,0.075367896287215,0.9602399659674798,-0.6374626725683563,25.0,1,0,0,7.5,5.7743,56.25,0.25
1998-10-01,7.5,7.25,-0.25,-3.0842688184825717,-9.008899307187267,,0.2984233888779775,-0.8671538997218509,-3.0842688184825717,-3.215033753502039,-2.140866224358784,0.0,7.5,7.25,-0.25,-3.0842688184825717,-9.008899307187267,,0.2984233888779775,-0.8671538997218509,-3.0842688184825717,-3.215033753502039,-2.140866224358784,0.0,-25.0,0,1,0,7.25,5.0114,52.5625,0.25
1998-11-01,7.25,6.75,-0.5,0.0,4.863849576014712,,1.4910871016842409,0.0,0.0,1.6015758167896577,-0.3909166167088918,2.162103274249705,7.25,6.75,-0.5,0.0,4.863849576014712,,1.4910871016842409,0.0,0.0,1.6015758167896577,-0.3909166167088918,2.162103274249705,-50.0,0,1,0,6.75,4.9292,45.5625,0.5
1998-12-01,6.75,6.25,-0.5,-3.593375682948974,-2.787185572779638,,0.0,0.0,-3.593375682948974,-0.5471748024830747,1.0695071952147917,0.2838577174376189,6.75,6.25,-0.5,-3.593375682948974,-2.787185572779638,,0.0,0.0,-3.593375682948974,-0.5471748024830747,1.0695071952147917,0.2838577174376189,-50.0,0,1,0,6.25,4.5175,39.0625,0.5
1999-01-01,6.25,6.0,-0.25,0.0,-1.0457315461160244,,-0.9913305115501148,0.0,0.0,-0.0544010345659096,0.0,0.0,6.25,6.0,-0.25,0.0,-1.0457315461160244,,-0.9913305115501148,0.0,0.0,-0.0544010345659096,0.0,0.0,-25.0,0,1,0,6.0,4.2868,36.0,0.25
